id,score_date,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_9001380,24-02-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9021651,03-02-2023,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2449317,10-03-2023,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0
JMAN_2472373,10-03-2023,7.0,0.285714286,6.0,6.0,0,1,1.0,1.0,0,0
JMAN_2452751,03-02-2023,24.0,0.095238095,21.0,24.0,1,0,0.875,0.875,0,0
JMAN_2457731,31-03-2023,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0
JMAN_2450544,24-02-2023,4.0,0.75,4.0,4.0,0,0,1.0,1.0,0,0
JMAN_9021157,31-03-2023,4.0,0.0,4.0,4.0,0,1,1.0,1.0,0,0
JMAN_2447191,03-02-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_1286382,10-02-2023,38.0,0.34375,33.0,38.0,0,1,0.842105263,0.868421053,0,1
JMAN_2478470,10-02-2023,4.0,0.0,4.0,4.0,0,1,1.0,1.0,0,0
JMAN_9036591,20-01-2023,12.0,0.0,5.0,12.0,0,1,0.416666667,0.416666667,0,0
JMAN_2331419,03-02-2023,15.0,0.0,14.0,15.0,0,1,0.933333333,0.933333333,0,0
JMAN_2475429,10-02-2023,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0
JMAN_2475334,31-03-2023,3.0,0.0,3.0,3.0,0,1,1.0,1.0,0,0
JMAN_2479512,17-03-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_9032708,03-02-2023,7.0,0.0,7.0,7.0,0,1,1.0,1.0,0,0
JMAN_2461834,24-02-2023,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0
JMAN_2445795,31-03-2023,4.0,0.5,4.0,4.0,1,0,1.0,1.0,0,0
JMAN_2469134,31-03-2023,15.0,0.0,9.0,15.0,0,1,0.6,0.6,0,0
JMAN_2447281,17-02-2023,3.0,0.333333333,2.0,2.0,1,0,1.0,1.0,0,0
JMAN_11633303,13-01-2023,16.0,0.0,11.0,16.0,0,1,0.6875,0.6875,0,0
JMAN_2445669,03-03-2023,17.0,0.058823529,15.0,15.0,0,1,1.0,1.0,0,0
JMAN_18362858,03-03-2023,1.0,0.0,,1.0,0,0,0.0,0.0,0,0
JMAN_2375196,27-01-2023,4.0,0.0,3.0,4.0,0,0,0.75,0.75,0,0
JMAN_9892189,24-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9031450,03-02-2023,5.0,0.0,5.0,5.0,0,0,1.0,1.0,0,0
JMAN_2483334,10-03-2023,11.0,0.181818182,10.0,10.0,0,1,1.0,1.0,0,0
JMAN_2475019,20-01-2023,9.0,0.111111111,8.0,9.0,0,1,1.0,0.888888889,1,0
JMAN_9471063,24-03-2023,3.0,0.0,2.0,3.0,0,1,0.666666667,0.666666667,0,0
JMAN_2478834,20-01-2023,7.0,0.0,6.0,7.0,0,1,0.857142857,0.857142857,0,0
JMAN_16385554,13-01-2023,10.0,0.0,,10.0,0,0,0.0,0.0,0,0
JMAN_9005021,03-02-2023,3.0,0.0,3.0,3.0,0,0,1.0,1.0,0,0
JMAN_2476115,17-02-2023,5.0,0.2,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_9051235,17-02-2023,6.0,0.0,6.0,6.0,0,1,1.0,1.0,0,0
JMAN_9391855,10-02-2023,8.0,0.125,8.0,8.0,0,1,1.0,1.0,0,0
JMAN_9018166,13-01-2023,7.0,0.0,7.0,7.0,0,1,1.0,1.0,0,0
JMAN_9897409,31-03-2023,8.0,0.333333333,6.0,8.0,0,0,0.75,0.75,0,0
JMAN_18410412,24-02-2023,2.0,0.0,,2.0,0,0,0.0,0.0,0,0
JMAN_2461712,10-03-2023,21.0,0.25,20.0,21.0,0,1,0.952380952,0.952380952,0,0
JMAN_2472640,24-03-2023,14.0,0.153846154,14.0,14.0,0,1,0.928571429,1.0,0,1
JMAN_2469134,27-01-2023,15.0,0.125,8.0,10.0,0,0,0.533333333,0.8,0,1
JMAN_2464850,10-02-2023,1.0,0.0,6.0,6.0,0,0,1.0,1.0,0,0
JMAN_2442325,13-01-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9008468,20-01-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_109835,13-01-2023,28.0,0.222222222,27.0,28.0,0,1,0.964285714,0.964285714,0,0
JMAN_9075221,27-01-2023,80.0,0.051948052,77.0,80.0,1,0,0.9625,0.9625,0,0
JMAN_18410830,13-01-2023,5.0,0.0,,5.0,0,0,0.0,0.0,0,0
JMAN_9022859,20-01-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_9031253,31-03-2023,5.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_9003316,24-03-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_2468132,24-02-2023,2.0,0.0,6.0,6.0,0,1,1.0,1.0,0,0
JMAN_9036732,24-02-2023,19.0,0.263157895,19.0,19.0,0,1,1.0,1.0,0,0
JMAN_2482605,03-02-2023,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9059722,13-01-2023,33.0,0.333333333,33.0,39.0,0,1,1.0,0.846153846,1,0
JMAN_2351429,10-02-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_18127929,24-02-2023,3.0,0.0,,3.0,0,0,0.0,0.0,0,0
JMAN_2462717,03-02-2023,2.0,0.333333333,3.0,2.0,1,0,1.0,1.0,0,0
JMAN_9034076,24-02-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9034076,10-03-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9004072,10-02-2023,64.0,0.2,46.0,64.0,0,1,0.703125,0.71875,0,1
JMAN_18390619,17-03-2023,1.0,0.0,,1.0,0,0,0.0,0.0,0,0
JMAN_2453359,10-03-2023,5.0,0.4,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_10148809,24-02-2023,10.0,0.1,10.0,10.0,0,1,1.0,1.0,0,0
JMAN_9029612,13-01-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_10715453,13-01-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2449949,20-01-2023,1.0,0.0,1.0,1.0,0,1,1.0,1.0,0,0
JMAN_16164717,03-02-2023,1.0,1.0,,1.0,1,0,1.0,0.0,1,0
JMAN_9019742,17-02-2023,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
