id,score_date,current_arr,team_plus,pro_plus,ent_plus,csat_score,num_low_sev_outages,num_high_sev_outages,num_tickets_deflected,customer_age_quarters,product_counts,crm_employee_range,region_emea,region_apac,region_amer,region_latam,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,future_arr,current_arr.1,max_seats,agent_utilization,seat_utilization,churn,arr_change_percentage,log_current_arr,log_future_arr,customer_age_years,sev_outages_ratio,total_outages,log_max_seats,csat_score_normalized
JMAN_10364413,2023-01-13,60.0,0,0,0,0,9,0,0,9,2,01-Sep,0,0,1,0,0,1,0,0,0,60.0,60.0,1.0,1.0,1.0,0,0.0,4.110873864173311,4.110873864173311,36,0.0,9,0.6931471805599453,0.0
JMAN_9014071,2023-03-03,300.0,1,0,0,0,6,0,0,13,6,01-Sep,0,1,0,0,0,1,0,0,0,300.0,300.0,1.0,0.0,1.0,0,0.0,5.707110264748875,5.707110264748875,52,0.0,6,0.6931471805599453,0.0
JMAN_2453205,2023-03-10,242.04,1,0,0,0,8,0,0,17,2,01-Sep,0,0,1,0,0,1,0,0,0,495.84,242.04,1.0,1.0,1.0,0,104.85870104115023,5.493226038847463,6.208268042675993,68,0.0,8,0.6931471805599453,0.0
JMAN_9014743,2023-03-31,5040.0,1,1,1,0,11,0,0,17,1,100 - 249,0,0,1,0,1,0,0,0,0,6696.0,5040.0,6.0,0.0,1.0,0,32.857142857142854,8.525359754082631,8.80941494391005,68,0.0,11,1.9459101490553132,0.0
JMAN_2473750,2023-02-10,15876.0,1,1,0,0,11,0,0,17,1,5000+,0,1,0,0,0,1,0,1,0,5880.0,15876.0,27.0,0.090909091,0.407407407,1,-62.96296296296296,9.672626800077511,8.679482094459956,68,0.0,11,3.332204510175204,0.0
JMAN_9047552,2023-02-10,571.44,1,0,0,0,8,0,2,16,5,01-Sep,1,0,0,0,0,1,0,0,0,648.72,571.44,1.0,0.0,1.0,0,13.523729525409486,6.349907926442675,6.476541500851195,64,0.0,8,0.6931471805599453,0.0
JMAN_2465594,2023-03-10,2940.0,1,1,0,0,8,0,0,17,2,250 - 499,0,0,1,0,0,1,1,0,0,0.0,2940.0,5.0,0.0,0.8,1,-100.0,7.9865049385539955,0.0,68,0.0,8,1.791759469228055,0.0
JMAN_2446015,2023-01-13,424.56,1,0,0,0,5,0,0,16,5,01-Sep,1,0,0,0,0,1,0,0,0,429.48,424.56,1.0,1.0,1.0,0,1.158846806105148,6.053405948648165,6.064900865181165,64,0.0,5,0.6931471805599453,0.0
JMAN_9999715,2023-01-27,10620.0,1,1,0,0,0,0,0,10,5,Oct-49,0,0,1,0,0,1,0,0,0,10620.0,10620.0,15.0,0.071428571,0.933333333,0,0.0,9.27058845232154,9.27058845232154,40,0.0,0,2.772588722239781,0.0
JMAN_2480951,2023-03-17,581.04,1,0,0,0,14,0,0,17,5,01-Sep,1,0,0,0,0,1,0,0,0,609.0,581.04,2.0,0.5,1.0,0,4.81206113176374,6.366539173892078,6.413458957167357,68,0.0,14,1.0986122886681098,0.0
