id,score_date,current_arr,team_plus,pro_plus,ent_plus,csat_score,num_low_sev_outages,num_high_sev_outages,num_tickets_deflected,customer_age_quarters,product_counts,crm_employee_range,region_emea,region_apac,region_amer,region_latam,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,future_arr,current_arr.1,max_seats,agent_utilization,seat_utilization,churn
JMAN_10690366,2023-02-03,9000.0,1,1,1,100,10,0,0,8,1,100 - 249,0,0,0,1,1,0,0,0,0,0.0,9000.0,5.0,0.6,1.0,1
JMAN_9384676,2023-01-13,600.0,1,0,0,100,5,0,0,17,3,01-Sep,0,1,0,0,0,1,0,0,0,600.0,600.0,2.0,0.0,1.0,0
JMAN_2338685,2023-03-17,600.0,1,0,0,0,9,0,0,17,3,01-Sep,0,0,1,0,0,1,0,0,0,600.0,600.0,2.0,0.0,1.0,0
JMAN_9038285,2023-03-10,108.0,0,0,0,0,5,0,0,16,6,01-Sep,0,1,0,0,0,1,0,0,0,108.0,108.0,1.0,0.0,1.0,0
JMAN_2453205,2023-01-06,244.44,1,0,0,0,5,0,0,16,2,01-Sep,0,0,1,0,0,1,0,0,0,247.32,244.44,1.0,0.0,1.0,0
JMAN_9005782,2023-01-27,180.0,0,0,0,0,6,0,0,13,5,01-Sep,1,0,0,0,0,1,0,0,0,180.0,180.0,3.0,0.0,1.0,0
JMAN_11249333,2023-01-20,2376.0,1,1,0,100,0,0,1,6,1,50 - 99,0,0,0,1,1,0,0,0,0,0.0,2376.0,2.0,1.0,1.0,1
JMAN_2469088,2023-02-24,5364.0,1,1,1,0,12,0,0,17,3,100 - 249,0,0,1,0,1,0,0,0,0,5364.0,5364.0,3.0,0.0,1.0,0
JMAN_2440364,2023-02-10,60.0,0,0,0,0,10,0,0,17,2,01-Sep,0,1,0,0,0,1,0,0,0,60.0,60.0,1.0,0.0,1.0,0
JMAN_13241134,2023-03-31,1800.0,1,1,1,0,0,0,0,2,1,Oct-49,0,0,1,0,1,0,0,0,0,22809.6,1800.0,1.0,0.0,1.0,0
JMAN_18410843,2023-03-24,168.0,1,0,0,0,0,0,0,17,1,100 - 249,1,0,0,0,1,0,0,0,0,168.0,168.0,1.0,0.0,0.0,0
JMAN_9398554,2023-02-03,11987.52,1,1,0,0,0,0,0,13,4,5000+,1,0,0,0,0,1,0,1,0,12219.72,11987.52,17.0,0.176470588,1.0,1
JMAN_2439200,2023-02-24,64.92,0,0,0,0,15,1,0,17,5,01-Sep,1,0,0,0,0,1,0,0,0,66.24,64.92,1.0,0.0,1.0,0
JMAN_2433825,2023-01-20,231.6,0,0,0,0,4,0,0,17,4,01-Sep,1,0,0,0,0,1,0,0,0,234.24,231.6,2.0,0.5,1.0,0
JMAN_2462717,2023-03-17,2952.0,1,1,1,100,11,0,0,17,7,1000 - 4999,0,0,1,0,0,1,0,1,0,2952.0,2952.0,2.0,0.0,1.0,0
JMAN_9020100,2023-03-10,955.44,0,0,0,100,0,0,0,17,5,Oct-49,1,0,0,0,0,1,0,0,0,1174.44,955.44,15.0,0.0,0.933333333,0
JMAN_9028715,2023-01-27,720.0,0,0,0,0,6,0,0,17,3,Oct-49,0,0,1,0,0,1,0,0,0,720.0,720.0,12.0,0.0,1.0,0
JMAN_11265556,2023-02-24,6468.0,1,0,0,0,8,0,0,17,1,250 - 499,0,1,0,0,0,1,1,0,0,6468.0,6468.0,11.0,0.0,0.636363636,0
JMAN_2478316,2023-02-24,32394.36,1,1,1,0,0,0,0,17,1,Oct-49,1,0,0,0,1,0,0,0,0,33561.36,32394.36,18.0,0.388888889,1.0,0
JMAN_2464018,2023-02-03,2155.92,1,0,0,0,9,1,0,17,4,Oct-49,1,0,0,0,0,1,0,0,0,2197.8,2155.92,8.0,0.25,1.0,0
JMAN_9031054,2023-02-17,2571.12,1,1,0,0,0,0,0,17,1,Oct-49,1,0,0,0,0,1,0,0,0,3888.36,2571.12,6.0,0.333333333,1.0,0
JMAN_2464071,2023-01-06,1008.0,1,1,0,0,7,0,0,17,4,Oct-49,0,0,1,0,0,1,0,0,0,1008.0,1008.0,3.0,0.0,1.0,0
JMAN_2432487,2023-01-20,823.32,1,1,0,0,8,0,0,17,4,Oct-49,1,0,0,0,0,1,0,0,0,832.92,823.32,1.0,0.0,1.0,0
JMAN_10545373,2023-01-27,1200.0,1,1,0,0,8,0,0,8,4,Oct-49,0,0,1,0,0,1,0,0,0,1200.0,1200.0,5.0,0.0,0.8,0
JMAN_9056802,2023-03-24,120.0,0,0,0,0,11,0,0,16,3,01-Sep,0,1,0,0,0,1,0,0,0,120.0,120.0,2.0,0.0,1.0,0
JMAN_18410813,2023-03-03,348.0,1,1,0,0,0,0,0,17,1,01-Sep,0,1,0,0,0,1,0,0,0,348.0,348.0,1.0,0.0,0.0,0
JMAN_9097813,2023-02-03,2148.0,1,1,1,0,10,0,0,16,3,01-Sep,0,0,1,0,0,1,0,0,0,2148.0,2148.0,1.0,1.0,1.0,0
JMAN_109835,2023-03-10,47255.04,1,1,1,100,0,0,8,45,1,1000 - 4999,1,0,0,0,0,1,0,0,1,50400.0,47255.04,28.0,0.185185185,0.964285714,0
JMAN_18411228,2023-03-10,168.0,1,0,0,0,0,0,0,17,1,50 - 99,1,0,0,0,1,0,0,0,0,168.0,168.0,1.0,0.0,0.0,0
JMAN_9027650,2023-03-17,3768.0,1,0,0,0,6,0,0,16,5,100 - 249,0,1,0,0,1,0,0,0,0,0.0,3768.0,10.0,0.0,1.0,1
JMAN_15702888,2023-03-10,684.0,1,0,0,0,0,0,0,1,1,100 - 249,0,0,1,0,1,0,0,0,0,684.0,684.0,3.0,0.0,1.0,0
JMAN_15702888,2023-03-31,684.0,1,0,0,0,0,0,0,1,1,100 - 249,0,0,1,0,1,0,0,0,0,684.0,684.0,3.0,0.0,1.0,0
JMAN_16079210,2023-02-03,504.0,1,0,0,0,0,0,0,17,1,01-Sep,1,0,0,0,0,1,0,0,0,504.0,504.0,3.0,0.0,1.0,0
JMAN_2446956,2023-01-27,2160.0,1,1,0,0,6,0,0,17,4,01-Sep,0,0,1,0,0,1,0,0,0,708.0,2160.0,3.0,0.333333333,1.0,1
JMAN_9803968,2023-01-06,2700.0,1,0,0,0,6,0,0,10,5,Oct-49,0,0,1,0,0,1,0,0,0,2700.0,2700.0,9.0,0.0,1.0,0
JMAN_2453205,2023-01-27,244.44,1,0,0,0,6,0,0,16,2,01-Sep,0,0,1,0,0,1,0,0,0,247.32,244.44,1.0,0.0,1.0,0
JMAN_2481216,2023-01-27,7624.92,1,1,0,0,6,0,0,17,3,01-Sep,0,1,0,0,0,1,0,0,0,7959.6,7624.92,7.0,0.0,0.857142857,0
JMAN_9000773,2023-03-10,7812.0,1,1,0,100,8,0,0,17,2,01-Sep,0,0,1,0,0,1,0,0,0,10296.0,7812.0,7.0,0.0,1.0,0
JMAN_2478576,2023-02-17,13500.0,1,1,0,0,10,0,0,17,1,01-Sep,0,0,1,0,0,1,0,0,0,8940.0,13500.0,9.0,0.2,0.555555556,1
JMAN_2477792,2023-01-06,408.0,1,1,0,0,3,0,0,16,5,01-Sep,0,1,0,0,0,1,0,0,0,0.0,408.0,1.0,0.0,1.0,1
JMAN_2476052,2023-01-20,217.8,0,0,0,0,4,0,0,16,3,01-Sep,1,0,0,0,0,1,0,0,0,227.4,217.8,3.0,0.0,1.0,0
JMAN_2474690,2023-01-20,3264.0,1,1,0,0,6,0,0,17,4,Oct-49,0,1,0,0,0,1,0,1,0,3264.0,3264.0,8.0,0.0,1.0,0
